name,adm0_a3,lat,lng
Kabul,AFG,34.51669029,69.18326005
Luanda,AGO,-8.838286114,13.23442704
Tirana,ALB,41.32754071,19.81888301
Andorra,AND,42.50000144,1.516485961
Dubai,ARE,25.22999615,55.27997432
Buenos Aires,ARG,-34.60250161,-58.39753137
Yerevan,ARM,40.18115074,44.51355139
Saint John's,ATG,17.11803652,-61.85003382
Sydney,AUS,-33.92001097,151.1851798
Vienna,AUT,48.20001528,16.36663896
Baku,AZE,40.39527203,49.86221716
Bujumbura,BDI,-3.37608722,29.36000606
Brussels,BEL,50.83331708,4.333316608
Cotonou,BEN,6.400008564,2.519990599
Ouagadougou,BFA,12.37031598,-1.524723756
Dhaka,BGD,23.72305971,90.40857947
Sofia,BGR,42.68334943,23.31665401
Manama,BHR,26.23613629,50.58305172
Nassau,BHS,25.08339012,-77.35004378
Sarajevo,BIH,43.8500224,18.38300167
Minsk,BLR,53.89997744,27.56662716
Belmopan,BLZ,17.25203351,-88.767073
La Paz,BOL,-16.49797361,-68.14998519
Sao Paulo,BRA,-23.55867959,-46.62501998
Bridgetown,BRB,13.10200258,-59.61652674
Bandar Seri Begawan,BRN,4.883331115,114.9332841
Thimphu,BTN,27.47298586,89.63901404
Gaborone,BWA,-24.64631346,25.91194779
Bangui,CAF,4.366644306,18.55828813
Toronto,CAN,43.69997988,-79.42002079
Geneva,CHE,46.21000755,6.140028034
Santiago,CHL,-33.45001382,-70.66704085
Shanghai,CHN,31.21645245,121.4365047
Abidjan,CIV,5.319996967,-4.04004826
Yaounde,CMR,3.866700662,11.51665076
Kinshasa,COD,-4.329724102,15.31497188
Brazzaville,COG,-4.259185772,15.28468949
Bogota,COL,4.596423563,-74.08334396
Moroni,COM,-11.7041577,43.2402441
Praia,CPV,14.91669802,-23.51668889
San Jose,CRI,9.93501243,-84.08405135
Havana,CUB,23.13195884,-82.36418217
Nicosia,CYP,35.16667645,33.36663489
Prague,CZE,50.08333701,14.46597978
Berlin,DEU,52.52181866,13.40154862
Djibouti,DJI,11.59501446,43.14800167
Roseau,DMA,15.30101564,-61.38701298
Kobenhavn,DNK,55.67856419,12.56348575
Santo Domingo,DOM,18.47007285,-69.90008508
Algiers,DZA,36.7630648,3.05055253
Quito,ECU,-0.214988181,-78.50005111
Cairo,EGY,30.04996035,31.24996822
Asmara,ERI,15.33333925,38.93332353
Madrid,ESP,40.40002626,-3.683351686
Tallinn,EST,59.43387738,24.72804073
Addis Ababa,ETH,9.033310363,38.70000443
Helsinki,FIN,60.17556337,24.93412634
Suva,FJI,-18.13301593,178.4417073
Paris,FRA,48.86669293,2.333335326
Palikir,FSM,6.916643696,158.1499743
Libreville,GAB,0.38538861,9.457965046
London,GBR,51.49999473,-0.116721844
Tbilisi,GEO,41.72500999,44.79079545
Accra,GHA,5.550034606,-0.21671574
Conakry,GIN,9.531522846,-13.68023503
Banjul,GMB,13.45387646,-16.59170149
Bissau,GNB,11.86502382,-15.59836084
Malabo,GNQ,3.750015278,8.783277546
